('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7799    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
      185    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
      196    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
    12905    0.004    0.000    0.005    0.000 _parser.py:261(get)
      898    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     1150    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.005    0.005 _events.py:1(<module>)
      291    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
    18346    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.005    0.005 _content.py:1(<module>)
    10162    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     6823    0.002    0.000    0.005    0.000 filter.py:726(match)
     1150    0.005    0.000    0.005    0.000 {built-in method posix.stat}
     3375    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
        1    0.000    0.000    0.005    0.005 _multipart.py:1(<module>)
      563    0.001    0.000    0.005    0.000 _connection.py:410(_extract_next_receive_event)
      299    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
  146/107    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
      447    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.005    0.005 _urls.py:1(<module>)
     7169    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     3412    0.003    0.000    0.004    0.000 __init__.py:812(pushTag)
      107    0.000    0.000    0.004    0.000 typing.py:687(Union)
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
    24039    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
        2    0.000    0.000    0.004    0.002 _streams.py:1(<module>)
      269    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.004    0.002 readers.py:1(<module>)
       19    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
     2589    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _decoders.py:314(decode)
        2    0.000    0.000    0.003    0.002 <frozen codecs>:319(decode)
        2    0.003    0.002    0.003    0.002 {built-in method _codecs.utf_8_decode}
      240    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     2790    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    10032    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.003    0.002 core.py:1(<module>)
    20612    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
     10/8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
     10/8    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     3411    0.003    0.000    0.003    0.000 __init__.py:789(popTag)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
    10630    0.002    0.000    0.003    0.000 _parser.py:256(match)
    18186    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    16446    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      240    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 _readers.py:1(<module>)
      121    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
       34    0.000    0.000    0.003    0.000 enum.py:528(__new__)
    11314    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
  536/535    0.001    0.000    0.003    0.000 _readers.py:156(__call__)
       93    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
     3286    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
    18842    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      447    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      535    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
       92    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.002    0.002 staggered.py:1(<module>)
      261    0.001    0.000    0.002    0.000 _connection.py:272(_process_event)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       13    0.000    0.000    0.002    0.000 dataclasses.py:638(_frozen_get_del_attr)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1866    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
    13572    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1953    0.002    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
        1    0.000    0.000    0.002    0.002 core.py:21(where)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      122    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
       10    0.001    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       20    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
     6892    0.001    0.000    0.002    0.000 _parser.py:176(append)
        1    0.000    0.000    0.002    0.002 _common.py:33(wrapper)
        1    0.000    0.000    0.002    0.002 _common.py:51(files)
        2    0.000    0.000    0.002    0.001 _eventloop.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:107(from_package)
        1    0.000    0.000    0.002    0.002 _adapters.py:28(get_resource_reader)
